"ID","Name of the vaccine","Microbe","Disease name","Name of bacteria","Type of vaccine","Nucleic acid content","Age","Description of the vaccine","Name of the manufacturer","Name of the manufacturing country","Year of manufacture","Clinical Phase status","Bacterial strain","Efficacy","Vaccine formulation","Dosage","Mechanism of action","Route of administration","Indications","Export","Approval","Adjuvant","Repurposing","Side effects of vaccine","Post vaccination","Dose type","Interspecies transfer","PubMed identifier","Clinical trial number","Reference","Other Name","Additional Links"
"1327","Vi-TCV","Bacteria","Typhoid","Salmonella typhi","Conjugate","DNA","9 months to 12 years","Typhoid conjugate vaccine (Vi-TCV).","University of Maryland, Baltimore","Malawi","2021","Clinical - Phase 3","Gram negative bacteria.","NA","Suspension for injection","Single dose of 0.5 mL.","NA","Intramuscular","NA","NA","NA","NA","NA","NA","NA","Single dose","NA","NA","NCT03299426","NA","NA","NA"
"1328","Vi-DT","Bacteria","Typhoid","Salmonella typhi","Conjugate","DNA","6 months to 45 years","Vi-DT conjugate vaccine manufactured by SK Bioscience Co., Ltd.","International Vaccine Institute","Nepal","2021","Clinical - Phase 3","Gram negative bacteria.","NA","Suspension for injection","Single dose.","NA","Intramuscular","NA","NA","NA","NA","NA","NA","NA","Single dose","NA","NA","NCT03933098","NA","NA","NA"
"1329","Ty800","Bacteria","Typhoid","Salmonella typhi","Live attenuated","DNA","18 to 55 years","Ty800 oral vaccine.","AVANT Immunotherapeutic\n\t","United States","2008","Clinical - Phase 2","Gram negative bacteria.","NA","Oral dose","Single oral dose.","NA","Oral","NA","NA","NA","NA","NA","NA","NA","Single dose","NA","NA","NCT00498654","https://www.who.int/immunization/sage/SAGE_Background_paper_typhoid_newVaccines.pdf?ua=1","NA","NA"
"1330","EuTCV","Bacteria","Typhoid","Salmonella typhi","Conjugate","DNA","6 months to 45 years","Vi-CRM Typhoid conjugate vaccine.","EuBiologics Co.,Ltd","Philippines","2021","Clinical - Phase 2, Phase 3","Gram negative bacteria.","NA","Suspension for injection","Single dose.","NA","Intramuscular","NA","NA","NA","NA","NA","NA","NA","Single dose","NA","NA","NCT04830371","NA","Vi-CRM197","NA"
"1331","M01ZH09","Bacteria","Typhoid","Salmonella typhi","Conjugate","DNA","18 to 60 years","New oral Typhoid vaccine.","University of Oxford","United Kingdom","2021","Clinical - Phase 2","Gram negative bacteria.","NA","Oral dose","Single dose.","NA","Oral","NA","NA","NA","NA","For Enteric and typhoid fever.","NA","NA","Single dose","NA","NA","NCT01405521","NA","Typhella","NA"
"1332","Vi-rEPA","Bacteria","Typhoid","Salmonella typhi","Conjugate","DNA","Child, adult, older adult","Conjugate vaccine for Typhoid fever.","\tEunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)","Vietnam","2011","Clinical - Phase 2","Gram negative bacteria","NA","NA","Three doses at  2, 4, and 6 months. Booster dose at 12 months of age.","Elicited serum IgG anti-Vi.","NA","NA","NA","NA","NA","NA","NA","NA","Combination doses","NA","NA","NCT00342628","NA","Vi conjugate","NA"
"1333","CVD 909","Bacteria","Typhoid","Salmonella typhi","Live attenuated","DNA","18 to 40 years","Vi Polysaccharide typhoid vaccine after priming by live attenuated oral Vi+ Salmonella Typhi strain CVD 909.","National Institute of Allergy and Infectious Diseases (NIAID)","United States","2008","Clinical - Phase 1","Gram negative bacteria","NA","Oral dose","Single dose given with buffer.","Serum IgG anti-Vi antibodies inducing both Th1/Th2-type immunity.","Oral","NA","NA","NA","NA","NA","NA","NA","Single dose","NA","NA","NCT00326443","NA","NA","NA"
"1334","CVD 908","Bacteria","Typhoid","Salmonella typhi","Live attenuated","DNA","NA","Attenuation of Salmonella enterica serovar Typhi by deletions in the aroC gene.","Centre for Vaccine Development, University of Maryland","NA","NA","Clinical - Phase 1","Gram negative bacteria","NA","Oral dose","Single oral dose.","Serum IgG anti–lipopolysaccharide (LPS) antibodies and IgA anti-LPS antibody-secreting cells (ASCs).","Oral","NA","NA","NA","NA","NA","NA","NA","Single dose","NA","17582563","NA","http://www.violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=249&keywords=","NA","NA"
"1335","CVD 908-HTRA","Bacteria","Typhoid","Salmonella typhi","Live attenuated","DNA","NA","Derivative of CVD 908, deleted in htrA.","Evans Medical, Speke","United Kingdom","NA","Clinical - Phase 2","Gram negative bacteria","NA","Oral dose","Single dose.","Vigorous mucosal, humoral, and cellular immune responses.","Oral","NA","NA","NA","NA","NA","Diarrhoea.","NA","Single dose","NA","17582563","NA","http://www.violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=252&keywords=","NA","NA"
"1336","Typhax","Bacteria","Typhoid","Salmonella typhi","Conjugate","DNA","18 to 55 years","Investigational typhoid fever candidate vaccine.","Matrivax Research and Development Corporation","NA","2017","Clinical - Phase 1","Gram negative bacteria.","NA","Suspension for injection","Two dose regimen.","Anti-Vi antibody.","Intramuscular","NA","NA","NA","NA","NA","NA","NA","Combination dose (2 doses)","NA","31905228","NCT03926455","NA","NA","NA"
"1337","Meningo A+C","Bacteria","Meningococcal disease","Neisseria meningitidis","Polysaccharide","DNA","2 to 6 years","Meningococcal (groups A and C) polysaccharide vaccine by Sanofi Pasteur.","Sanofi Pasteur, a Sanofi Company","China","2012","Clinical - Phase 4","Gram-negative diplococcus.","NA","NA","Single dose of 0.5 mL.","NA","Subcutaneous","NA","NA","NA","NA","For Meningitis also.","NA","NA","Single dose","NA","NA","NCT01430611","NA","NA","NA"
"1338","Meng Ling Kang","Bacteria","Meningococcal disease","Neisseria meningitidis","Polysaccharide","DNA","2 to 6 years","Meningococcal (groups A and C) polysaccharide vaccine by Lanzhou Institute for Biological Products.","Sanofi Pasteur, a Sanofi Company","China","2012","Clinical - Phase 4","Gram-negative diplococcus.","NA","NA","Single dose of 0.5 mL.","NA","Subcutaneous","NA","NA","NA","NA","For Meningitis also.","NA","NA","Single dose","NA","NA","NCT01430611","NA","NA","NA"
"1339","Walvax MPV ACYW","Bacteria","Meningococcal disease","Neisseria meningitidis","Polysaccharide","DNA","2 to 10 years","Yuxi Walvax MPV ACYW vaccine.","Walvax Biotechnology Co., Ltd.","Mali","2021","Clinical - Phase 4","Gram-negative diplococcus.","NA","Sterile formulation","Single dose of 0.5 mL.","NA","Intramuscular","NA","NA","NA","NA","For Neisseria Meningitides Meningitis.","NA","NA","Single dose","NA","NA","NCT04450498","NA","NA","NA"
"1340","NmCV-5","Bacteria","Meningococcal disease","Neisseria meningitidis","Conjugate","DNA","2 to 29 years","Pentavalent Meningococcal serogroups ACYWX conjugate vaccine.","Serum Institute of India Pvt. Ltd.","Gambia, Mali","2021","Clinical - Phase 3","Gram-negative diplococcus.","NA","Lyophilised powder","Single dose of 0.5 mL.","NA","Intramuscular","NA","NA","NA","NA","NA","NA","NA","Single dose","NA","NA","NCT03964012","NA","NA","NA"
"1341","MenCC-BIO","Bacteria","Meningococcal disease","Neisseria meningitidis","Conjugate","DNA","3 months to 19 years","Meningococcal serogroup C vaccine developed by Bio-Manguinhos / FIOCRUZ.","The Immunobiological Technology Institute (Bio-Manguinhos) / Oswaldo Cruz Foundation (Fiocruz)","Brazil","2020","Clinical - Phase 2, Phase 3","Gram-negative diplococcus.","NA","Lyophilized white powder","Two to three doses.","NA","NA","NA","NA","NA","Aluminium hydroxide","NA","NA","NA","Combination doses","NA","NA","NCT02858570","NA","NA","NA"
"1342","ProDiax-23","Bacteria","Pneumococcal","Streptococcus pneumoniae","Polysaccharide","DNA","70 to 75 years","23-valent Pneumococcal polysaccharide vaccine.","Korea University Guro Hospital","Korea, Republic of","2022","Clinical - Phase 4","Gram-positive, facultative anaerobic bacteria.","NA","NA","Revaccination in old adults who received PPSV23 in previous 5-7 years.","IgG antibody titers against 13 pneumococcal serotypes.","Intramuscular","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NCT04875858","NA","PPSV23","NA"
"1343","V114","Bacteria","Pneumococcal","Streptococcus pneumoniae","Conjugate","DNA","18 to 49 years","Merck’s investigational 15-valent pneumococcal conjugate vaccine.","Merck Sharp & Dohme Corp.","Australia, Canada, Chile, New Zealand, Poland, Russian Federation, United States","2020","Clinical - Phase 3","Gram-positive, facultative anaerobic bacteria.","NA","NA","Single dose of 0.5 mL.","NA","Intramuscular","NA","NA","NA","Aluminium Phosphate","NA","NA","NA","Single dose","NA","NA","NCT03547167","NA","NA","NA"
"1344","NBP606","Bacteria","Pneumococcal","Streptococcus pneumoniae","Conjugate","DNA","42 to 98 days","13-valent Pneumococcal conjugate vaccine.","SK Chemicals Co., Ltd.","Korea, Republic of","2016","Clinical - Phase 3","Gram-positive, facultative anaerobic bacteria.","NA","NA","Single dose.","NA","Intramuscular","NA","NA","NA","NA","NA","NA","NA","Single dose","NA","NA","NCT02201030","NA","NA","NA"
"1345","PCV13i","Bacteria","Pneumococcal","Streptococcus pneumoniae","Conjugate","DNA","6 weeks and older","13-Valent Pneumococcal polysaccharide conjugate vaccine (CRM197,TT)","CanSino Biologics Inc.","China","2023","Clinical - Phase 3","Gram-positive, facultative anaerobic bacteria.","NA","NA","At 2 and months of age: Four doses\n7 to 11 months: Three doses\n12 to 23 months: Two doses\n2 to 5 years: One dose","NA","Intramuscular","NA","NA","NA","NA","For Streptococcal and bacterial infections","NA","NA","Both","NA","NA","NCT04841369","NA","NA","NA"
"1346","GSK513026","Bacteria","Pneumococcal","Streptococcus pneumoniae","NA","DNA","65 years and older","Pneumococcal protein vaccine.","GlaxoSmithKline","Belgium","2005","Clinical - Phase 2","Gram-positive, facultative anaerobic bacteria.","NA","NA","Two doses.","NA","Intramuscular","NA","NA","NA","With or without adjuvant","For Invasive Pneumococcal diseases and Pneumonia","NA","NA","Combination doses","NA","NA","NCT00307528","NA","NA","NA"
"1347","LBVE","Bacteria","Pneumococcal","Streptococcus pneumoniae","Conjugate","DNA","6 to 8 weeks","Multivalent Pneumococcal conjugate vaccine.","LG Chem","Korea, Republic of","2019","Clinical - Phase 2","Gram-positive, facultative anaerobic bacteria.","NA","NA","Three injections at 6,10 and 14 weeks of age.","NA","Intramuscular","NA","NA","NA","NA","NA","NA","NA","Combination doses","NA","NA","NCT03467984","NA","NA","NA"
"1348","PNCRM9","Bacteria","Pneumococcal","Streptococcus pneumoniae","Conjugate","DNA","65 years and older","Nine-valent CRM 197 pneumococcal conjugate vaccine.","National Institute of Allergy and Infectious Diseases (NIAID)","United States","2002","Clinical - Phase 2","Gram-positive, facultative anaerobic bacteria.","NA","Lyophilized powder","Two doses.","NA","Intramuscular","NA","NA","NA","NA","NA","NA","NA","Combination doses","NA","NA","NCT00133549","NA","NA","NA"
"1349","GEN-004","Bacteria","Pneumococcal","Streptococcus pneumoniae","Subunit","DNA","18 to 55 years","Pneumococcal recombinant protein subunit vaccine consisting of 3 recombinant T cell antigens.","Genocea Biosciences, Inc.","United Kingdom","2016","Clinical - Phase 2","Gram-positive, facultative anaerobic bacteria.","NA","NA","Three doses at 4 week intervals.","NA","Intramuscular","NA","NA","NA","Aluminium hydroxide","For Pneumonia.","NA","NA","Combination doses","NA","NA","NCT02116998","NA","NA","NA"
"1350","Eupenta Inj.","Bacteria","Haemophilus influenzae type b (Hib)","Haemophilus influenzae","Conjugate","DNA","6 to 8 weeks","Fully liquid pentavalent vaccine.","LG Chem","NA","2020","Clinical - Phase 4","Anaerobic gram-negative coccobacillus.","NA","Liquid","Three doses of 0.5 mL at 6, 10 and 14 weeks.","NA","NA","NA","NA","NA","NA","For pertussis, tetanus, hepatitis B and diphtheria.","NA","NA","Combination (3 doses)","NA","NA","NCT04056728","NA","NA","NA"
"1351","Zilbrix-Hib","Bacteria","Haemophilus influenzae type b (Hib)","Haemophilus influenzae","Combination","DNA","6 to 8 weeks","DTPw-HBV/Hib vaccine.","GlaxoSmithKline","India","2008","Clinical - Phase 3","Anaerobic gram-negative coccobacillus.","NA","Suspension for injection","Three doses at 6, 10 and 14 weeks of age.","NA","Intramuscular","NA","NA","NA","NA","For whole cell pertussis, diphtheria, tetanus and hepatitis B.","NA","NA","Combination (3 doses)","NA","18352853","NCT00473668","NA","NA","NA"
"1352","Tritanrix-HepB/ Hiberix","Bacteria","Haemophilus influenzae type b (Hib)","Haemophilus influenzae","Combination","DNA","6 to 8 weeks","Low or high dose formulations of DTPw-HBV/Hib vaccine.","GlaxoSmithKline","India","2008","Clinical - Phase 3","Anaerobic gram-negative coccobacillus.","NA","Suspension for injection","Three doses at 6, 10 and 14 weeks of age.","NA","Intramuscular","NA","NA","NA","NA","For whole cell pertussis, diphtheria, tetanus and hepatitis B.","NA","NA","Combination (3 doses)","NA","NA","NCT00473668","NA","NA","NA"
"1353","Tritanrix-HepB/Hib-MenAC","Bacteria","Haemophilus influenzae type b (Hib)","Haemophilus influenzae","Combination","DNA","427 to 730 days","Combined diphtheria, tetanus, whole cell pertussis, hepatitis B, haemophilus influenzae type b meningococcal AC-tetanus toxoid conjugate vaccine.","GlaxoSmithKline","Thailand","2006","Clinical - Phase 3","Anaerobic gram-negative coccobacillus.","NA","Suspension for injection","Three doses and a booster.","NA","Intramuscular","NA","NA","NA","NA","For diphtheria, tetanus, pertussis and hepatitis B.","NA","NA","Combination (4 doses)","NA","NA","NCT00136604","NA","NA","NA"
"1354","GSK2202083A","Bacteria","Haemophilus influenzae type b (Hib)","Haemophilus influenzae","Combination","DNA","12 to 18 months","GlaxoSmithKline Biologicals GSK2202083A vaccine.","GlaxoSmithKline","Poland","2010","Clinical - Phase 2","Anaerobic gram-negative coccobacillus.","NA","Suspension for injection","Three doses and a booster.","NA","Intramuscular","NA","NA","NA","NA","For acellular pertussis, poliomyelitis, tetanus, hepatitis B and diphtheria.","NA","NA","Combination (4 doses)","NA","NA","NCT01171989","https://www.clinicalstudydatarequest.com/Posting.aspx?ID=136&GroupID=DEFAULT","NA","NA"
"1355","HR5I","Bacteria","Haemophilus influenzae type b (Hib)","Haemophilus influenzae","Combination","DNA","6 to 9 weeks","Liquid hexavalent combination vaccine.","Merck Sharp & Dohme Corp.","NA","2003","Clinical - Phase 2","Anaerobic gram-negative coccobacillus.","NA","Suspension for injection","Four different formulations as primary series at 2, 3, 4, and booster at 12 to 14 months.","NA","Intramuscular","NA","NA","NA","NA","For acellular pertussis, tetanus, hepatitis B, diphtheria , inactivated poliovirus type 1, 2, and 3.","NA","NA","Combination (4 doses)","NA","NA","NCT00551629","NA","NA","NA"
"1356","Tritanrix-HepB/Hib","Bacteria","Haemophilus influenzae type b (Hib)","Haemophilus influenzae","Combination","DNA","50 to 71 days","Pentavalent combination vaccine.","Sanofi Pasteur, a Sanofi Company","Mexico, Peru","2008","Clinical - Phase 3","Anaerobic gram-negative coccobacillus.","NA","Suspension for injection","Three doses of 0.5 mL given at age 2, 4, and 6 months.","NA","Intramuscular","NA","NA","NA","NA","For pertussis, tetanus, hepatitis B and diphtheria.","NA","NA","Combination (3 doses)","NA","NA","NCT00313911","https://www.vaccinebox.com/product/tritanrix-hb-hib/","NA","NA"
"1357","GSK323527A","Bacteria","Haemophilus influenzae type b (Hib)","Haemophilus influenzae","Combination","DNA","18 to 24 months","DTPw-HBV/Hib Kft vaccine.","GlaxoSmithKline","Argentina, Nicaragua","2006","Clinical - Phase 3","Anaerobic gram-negative coccobacillus.","NA","Suspension for injection","Three doses as primary series and a booster dose.","NA","Intramuscular","NA","NA","NA","NA","For whole cell pertussis, tetanus, hepatitis B and diphtheria.","NA","NA","Combination (4 doses)","NA","NA","NCT00332566","NA","NA","NA"
"1358","SHAN6","Bacteria","Haemophilus influenzae type b (Hib)","Haemophilus influenzae","Combination","DNA","8 to 11 weeks","DTwP-HepB-Hib-IPV hexavalent vaccine.","Sanofi Pasteur, a Sanofi Company","Thailand","2021","Clinical - Phase 3","Anaerobic gram-negative coccobacillus.","NA","Suspension for injection","Three doses.","NA","Intramuscular","NA","NA","NA","NA","For whole cell pertussis, tetanus, hepatitis B, diphtheria and inactivated poliovirus.","NA","NA","Combination (3 doses)","NA","NA","NCT04429295","http://www.ctri.nic.in/Clinicaltrials/pdf_generate.php?trialid=30046&EncHid=&modid=&compid=%27,%2730046det%27","DTwP-HepB-Hib-IPV","NA"
"1359","Infanrix+Hib","Bacteria","Haemophilus influenzae type b (Hib)","Haemophilus influenzae","Combination","DNA","18 to 24 months","DTPa/Hib vaccine.","GlaxoSmithKline","China","2012","Clinical - Phase 3","Anaerobic gram-negative coccobacillus.","NA","Suspension for injection","Single booster dose in children with 3 doses of the Infanrix-IPV/Hib.","Anti-polyribosyl-ribitol-phosphate (PRP) antibody.","Intramuscular","NA","NA","NA","NA","For acellular pertussis, tetanus and diphtheria.","NA","NA","Single dose","NA","18251697","NCT01449812","NA","DTPa /Hib","NA"
"1360","HEXAVAC","Bacteria","Haemophilus influenzae type b (Hib)","Haemophilus influenzae","Combination","DNA","8 to 15 weeks","DTPa-HBV-IPV-Hib vaccine.","GlaxoSmithKline","Finland, Italy, Sweden","2005","Clinical - Phase 4","Anaerobic gram-negative coccobacillus.","NA","Suspension for injection","Three doses at 3, 5 and 11-12 months.","NA","Intramuscular","NA","Marketing-authorisation holder : Sanofi Pasteur MSD, SNC","NA","NA","For pertussis, tetanus, hepatitis B, diphtheria and poliomyelitis.","NA","NA","Combination (3 doses)","NA","NA","NCT01457547","https://www.ema.europa.eu/en/medicines/human/EPAR/hexavac","NA","NA"
"1361","Minhai-HIB","Bacteria","Haemophilus influenzae type b (Hib)","Haemophilus influenzae","Conjugate","DNA","2 to 5 years","Haemophilus Influenzae type b conjugate vaccine, freeze-dried.","Beijing Minhai Biotechnology Co., Ltd","China","2016","Clinical - Phase 3","Anaerobic gram-negative coccobacillus.","NA","Suspension for injection","Children 1 to 5 years: Single dose.\nChildren 6 to 11 months: Two doses, 1 month apart.\nInfants 2 to 5 months: Three doses, 1 month apart.","NA","Intramuscular","NA","NA","NA","NA","NA","NA","NA","Both","NA","NA","NCT02560272","NA","NA","NA"
